iso3_d,iso2_d
ABW,AW
AFG,AF
AGO,AO
ALB,AL
ARE,AE
ARG,AR
ARM,AM
ATG,AG
AUS,AU
AUT,AT
AZE,AZ
BDI,BI
BEL,BE
BEN,BJ
BFA,BF
BGD,BD
BGR,BG
BHR,BH
BHS,BS
BLR,BY
BLZ,BZ
BOL,BO
BRA,BR
BRB,BB
BRN,BN
BTN,BT
BWA,BW
CAF,CF
CAN,CA
CHE,CH
CHL,CL
CHN,CN
CIV,CI
CMR,CM
COG,CG
COL,CO
COM,KM
CPV,CV
CRI,CR
CUB,CU
CYM,KY
CYP,CY
CZE,CZ
DEU,DE
DJI,DJ
DMA,DM
DNK,DK
DOM,DO
DZA,DZ
ECU,EC
EGY,EG
ESP,ES
EST,EE
ETH,ET
FIN,FI
FJI,FJ
FRA,FR
GAB,GA
GBR,GB
GEO,GE
GHA,GH
GIN,GN
GMB,GM
GNB,GW
GNQ,GQ
GRC,GR
GRD,GD
GTM,GT
GUY,GY
HND,HN
HRV,HR
HTI,HT
HUN,HU
IDN,ID
IND,IN
IRL,IE
IRN,IR
IRQ,IQ
ISL,IS
ISR,IL
ITA,IT
JAM,JM
JOR,JO
JPN,JP
KAZ,KZ
KEN,KE
KGZ,KG
KHM,KH
KNA,KN
KOR,KR
KWT,KW
LAO,LA
LBN,LB
LBR,LR
LBY,LY
LCA,LC
LKA,LK
LTU,LT
LUX,LU
LVA,LV
MAR,MA
MDA,MD
MDG,MG
MDV,MV
MEX,MX
MKD,MK
MLI,ML
MLT,MT
MMR,MM
MNG,MN
MOZ,MZ
MRT,MR
MUS,MU
MWI,MW
MYS,MY
NAM,NA
NER,NE
NGA,NG
NIC,NI
NLD,NL
NOR,NO
NPL,NP
NZL,NZ
OMN,OM
PAK,PK
PAN,PA
PER,PE
PHL,PH
PNG,PG
POL,PL
PRT,PT
PRY,PY
QAT,QA
RUS,RU
RWA,RW
SAU,SA
SDN,SD
SEN,SN
SGP,SG
SLE,SL
SLV,SV
SUR,SR
SVK,SK
SWE,SE
SWZ,SZ
SYC,SC
TCD,TD
TGO,TG
THA,TH
TJK,TJ
TKM,TM
TON,TO
TTO,TT
TUN,TN
TUR,TR
TUV,TV
TZA,TZ
UGA,UG
UKR,UA
URY,UY
USA,US
UZB,UZ
VCT,VC
VNM,VN
VUT,VU
WSM,WS
YEM,YE
ZAF,ZA
ZMB,ZM
ZWE,ZW
